氏名,氏名（カタカナ）,生年月日,出身地
川西遥花,カワニシハルカ,1991-01-05,富山県
下川勝巳,シモカワカツミ,1995-04-14,栃木県
西村治夫,ニシムラハルオ,1973-04-27,山梨県
横尾浩,ヨコオヒロシ,1982-07-02,熊本県
峰博昭,ミネヒロアキ,1996-01-27,京都府
秋山政治,アキヤママサジ,1994-06-26,香川県
山口一也,ヤマグチカズヤ,1958-12-20,神奈川県
加瀬彩夏,カセサイカ,1963-12-07,秋田県
坂元勇,サカモトイサミ,1976-12-25,神奈川県
海野寅男,ウミノトラオ,1995-08-26,兵庫県
小林昌男,コバヤシマサオ,1989-02-17,沖縄県
増山璃乃,マスヤマリノ,1978-12-27,広島県
上村耕筰,ウエムラコウサク,1994-01-07,神奈川県
矢口直子,ヤグチナオコ,1965-08-04,秋田県
大林美恵子,オオバヤシミエコ,1994-07-29,大阪府
岩下国夫,イワシタクニオ,1996-09-20,香川県
海野福太郎,ウミノフクタロウ,1964-12-14,熊本県
内藤舞衣,ナイトウマイ,1974-01-27,福岡県
芳賀梢,ハガコズエ,1976-01-18,静岡県
田口伊代,タグチイヨ,1969-01-18,鳥取県
塚田隆志,ツカダタカシ,1983-11-05,奈良県
遠山小晴,トオヤマコハル,1963-10-12,茨城県
菊地繁雄,キクチシゲオ,1965-03-13,東京都
吉澤雅子,ヨシザワマサコ,1962-03-08,和歌山県
本橋輝夫,モトハシテルオ,1984-09-23,兵庫県
岸本美玖,キシモトミク,1981-02-09,青森県
西野由紀江,ニシノユキエ,1995-07-03,佐賀県
広田秀実,ヒロタヒデミ,1967-02-18,奈良県
谷川喜久治,タニガワキクジ,1977-09-03,熊本県
大庭雅夫,オオニワマサオ,1993-07-19,千葉県
湊理沙,ミナトリサ,1980-05-16,山梨県
堀内綾子,ホリウチアヤコ,1987-10-28,岩手県
足立安,アダチヤスシ,1969-08-06,島根県
松野伸子,マツノノブコ,1980-12-31,青森県
金城利夫,カナシロトシオ,1983-12-26,長崎県
西川希望,ニシカワノゾミ,1961-09-29,熊本県
大田琴,オオタコト,1971-09-04,富山県
坂元悦太郎,サカモトエツタロウ,1968-06-17,富山県
松野尚子,マツノナオコ,1973-06-08,栃木県
高嶋彩,タカシマアヤ,1986-11-21,滋賀県
関根希望,セキネノゾミ,1991-04-11,熊本県
有馬彩加,アリマアヤカ,1962-11-03,岐阜県
岡村咲季,オカムラサキ,1994-02-10,静岡県
高木華絵,タカギカエ,1992-08-17,愛媛県
草野豊吉,クサノトヨキチ,1978-11-10,神奈川県
的場聡,マトバサトシ,1968-11-10,徳島県
白井正敏,シライマサトシ,1993-02-03,北海道
滋賀真菜,シガマナ,1965-11-16,岐阜県
新井美貴,アライミキ,1984-01-02,熊本県
坂美穂子,バンミホコ,1965-04-09,三重県
小平浩幸,コダイラヒロユキ,1958-12-06,奈良県
長坂有沙,ナガサカアリサ,1985-07-10,栃木県
梅田夢,ウメダユメ,1990-05-02,山梨県
長瀬由奈,ナガセユナ,1976-03-22,岩手県
石崎春代,イシザキハルヨ,1967-04-08,沖縄県
井原知代,イハラトモヨ,1990-03-17,広島県
田沢信吉,タザワシンキチ,1967-06-10,山形県
広田一正,ヒロタカズマサ,1991-10-05,茨城県
柳隆之,ヤナギタカユキ,1997-08-26,沖縄県
江川定雄,エガワサダオ,1973-01-04,群馬県
勝又栄二,カツマタエイジ,1958-03-13,富山県
茂木泰,モギヤスシ,1982-11-19,長野県
岸田百合子,キシダユリコ,1983-12-24,和歌山県
奥田秀加,オクダヒデカ,1984-08-21,和歌山県
中利夫,ナカトシオ,1997-05-31,沖縄県
米倉美月,ヨネクラミヅキ,1971-09-11,静岡県
久保俊男,クボトシオ,1971-03-30,山梨県
大滝優斗,オオタキユウト,1990-06-28,富山県
猪俣康之,イノマタヤスユキ,1975-10-15,香川県
宇佐美隼人,ウサミハヤト,1959-09-25,長野県
桜井瑠花,サクライルカ,1994-12-13,徳島県
大島福太郎,オオシマフクタロウ,1972-07-05,岐阜県
小林祐介,コバヤシユウスケ,1959-03-30,富山県
栗林金蔵,クリバヤシキンゾウ,1983-10-28,茨城県
岩永陽菜乃,イワナガヒナノ,1968-03-15,新潟県
栗林寿,クリバヤシヒサシ,1968-01-02,山梨県
福島誠,フクシママコト,1976-04-30,群馬県
安西俊之,アンザイトシユキ,1989-01-16,福岡県
森岡治雄,モリオカハルオ,1962-08-07,京都府
志田栞奈,シダカンナ,1978-01-16,群馬県
浜野吉之助,ハマノキチノスケ,1971-11-05,三重県
北川美子,キタガワヨシコ,1991-07-26,京都府
安藤伸,アンドウシン,1974-10-18,京都府
松崎沙希,マツザキサキ,1986-06-23,宮崎県
尾上栄次,オガミエイジ,1997-09-10,兵庫県
竹中瑞紀,タケナカミズキ,1977-04-16,大阪府
上野治郎,アガノジロウ,1974-11-11,青森県
安斎圭,アンザイケイ,1973-08-03,宮崎県
影山治夫,カゲヤマハルオ,1960-08-24,熊本県
河田政次,カワダマサツグ,1962-04-22,高知県
手塚雅美,テヅカマサミ,1969-07-11,石川県
立川善成,タチカワヨシナリ,1965-07-16,岐阜県
津田次男,ツダツギオ,1963-11-23,鹿児島県
堀田昭次,ホッタショウジ,1973-05-18,山梨県
戸塚信男,トツカノブオ,1982-08-17,長崎県
野本来未,ノモトクルミ,1994-06-18,長崎県
小玉咲来,コダマサクラ,1967-11-07,大分県
石坂浩一,イシザカコウイチ,1986-08-05,愛知県
宍戸悠菜,シシドユウナ,1984-04-30,奈良県
海老原徳男,エビハラトクオ,1992-07-14,兵庫県
江田文康,エダフミヤス,1960-03-19,福岡県
高畑良男,タカハタヨシオ,1984-09-16,広島県
井出雫,イデシズク,1996-02-03,熊本県
瀬川俊博,セガワトシヒロ,1980-06-29,鳥取県
田村瑞季,タムラミズキ,1995-05-28,福井県
日下和夫,クサカカズオ,1963-07-05,奈良県
西和葉,ニシカズハ,1997-05-18,奈良県
柴田幸夫,シバタユキオ,1994-10-26,鳥取県
星野綾,ホシノアヤ,1966-03-02,静岡県
溝口雅樹,ミゾグチマサキ,1993-12-18,鳥取県
高坂俊一,コウサカシュンイチ,1964-10-06,三重県
高岡梅吉,タカオカウメキチ,1966-04-30,宮城県
岡野喜代子,オカノキヨコ,1983-12-20,岩手県
赤木金造,アカギキンゾウ,1983-05-08,宮城県
富山柚季,トミヤマユズキ,1977-07-17,富山県
矢吹信明,ヤブキノブアキ,1994-07-09,埼玉県
小栗謙治,オグリケンジ,1984-05-19,佐賀県
五味正人,ゴミマサト,1964-09-25,三重県
森井実優,モリイミユ,1996-07-23,秋田県
荒木十三,アラキジュウゾウ,1988-04-27,岡山県
田淵優子,タブチユウコ,1994-10-14,徳島県
平良沙織,ヒラヨシサオリ,1967-02-18,香川県
倉橋育男,クラハシイクオ,1958-05-08,長崎県
浅川莉音,アサカワリオン,1971-01-24,埼玉県
長島咲子,ナガシマサキコ,1972-07-14,青森県
松永香織,マツナガカオリ,1961-10-31,沖縄県
大滝康雄,オオタキヤスオ,1997-01-08,和歌山県
栗田繁雄,クリタシゲオ,1960-04-08,福岡県
長尾小枝子,ナガオサエコ,1990-07-24,山口県
浅野澪,アサノミオ,1982-03-31,茨城県
小原陽華,オハラハルカ,1987-07-06,長野県
土橋司郎,ツチハシシロウ,1988-01-25,滋賀県
西沢守彦,ニシザワモリヒコ,1996-05-24,宮城県
井出登,イデノボル,1980-01-10,宮崎県
沢村詩乃,サワムラシノ,1976-09-21,福岡県
小出清作,オデセイサク,1970-01-15,宮崎県
中村碧衣,ナカムラアオイ,1997-08-29,徳島県
橋口沙耶,ハシグチサヤ,1988-06-03,静岡県
橋爪昇一,ハシヅメショウイチ,1983-04-14,三重県
遠山晴彦,トオヤマハルヒコ,1958-04-13,佐賀県
笹川邦子,ササガワクニコ,1973-08-15,愛知県
田沢公男,タザワキミオ,1965-10-17,茨城県
宮野結月,ミヤノユヅキ,1970-10-16,秋田県
松島春奈,マツシマハルナ,1987-05-21,広島県
笹川康治,ササガワコウジ,1986-09-01,山形県
富永敬三,トミナガケイゾウ,1980-07-28,山形県
古沢比奈,フルサワヒナ,1983-12-10,岡山県
安東瑞稀,アンドウミズキ,1983-02-26,東京都
桜井勇蔵,サクライユウゾウ,1982-08-10,岐阜県
大内直樹,オウウチナオキ,1961-05-11,千葉県
五味穂香,ゴミホノカ,1985-01-04,兵庫県
滝口菊男,タキグチキクオ,1993-12-16,埼玉県
高原寅男,タカハラトラオ,1989-12-28,福島県
志賀富夫,シガトミオ,1986-11-27,福岡県
藤村忠彦,フジムラタダヒコ,1992-12-23,広島県
