氏名,氏名（カタカナ）,生年月日,出身地
芦田慶一,アシダケイイチ,1978-02-06,千葉県
北田公子,キタダキミコ,1986-04-27,長野県
豊田利津子,トヨダリツコ,1971-04-17,徳島県
河井結衣,カワイユイ,1991-06-07,愛媛県
本多正彦,ホンダマサヒコ,1994-10-03,三重県
榊原響,サカキバラヒビキ,1994-11-04,島根県
長島賢司,ナガシマケンジ,1965-06-29,京都府
浅田朱里,アサダアカリ,1983-11-12,北海道
北条正光,ホウジョウマサミツ,1983-05-25,神奈川県
神山比呂美,カミヤマヒロミ,1986-07-14,大阪府
重松保生,シゲマツヤスオ,1968-12-16,茨城県
沖田晃一朗,オキタコウイチロウ,1969-06-19,富山県
長友正吾,ナガトモショウゴ,1969-12-10,岐阜県
大淵真凛,オオブチマリン,1979-11-17,和歌山県
竹村香,タケムラカオル,1961-07-28,宮城県
坂上羽菜,サカガミハナ,1986-01-01,熊本県
神戸一久,コウベカズヒサ,1974-05-05,岐阜県
石山幸真,イシヤマユキマサ,1989-07-11,栃木県
大和田二三男,オオワダフミオ,1958-12-05,山梨県
武田杏理,タケダアンリ,1963-06-25,新潟県
藤岡利治,フジオカトシハル,1978-09-12,新潟県
杉本和美,スギモトカズミ,1978-12-04,大阪府
永井莉紗,ナガイリサ,1962-05-27,福岡県
中尾金吾,ナカオキンゴ,1988-05-24,兵庫県
重田孝一,シゲタコウイチ,1959-01-15,神奈川県
竹村優太,タケムラユウタ,1967-06-23,広島県
妹尾結,セノオユイ,1977-03-23,鳥取県
中澤佳奈子,ナカザワカナコ,1978-01-31,徳島県
飛田杏子,トビタキョウコ,1997-06-20,青森県
栗田耕一,クリタコウイチ,1973-12-31,茨城県
重田勇三,シゲタユウゾウ,1987-07-29,長野県
浅沼優香,アサヌマユウカ,1984-02-20,大阪府
平良里咲,ヒラヨシリサ,1983-11-11,山形県
大貫涼,オオヌキリョウ,1968-09-02,新潟県
黒崎佳代子,クロザキカヨコ,1986-08-15,神奈川県
中田円美,ナカダマルミ,1967-12-19,長野県
手塚英樹,テヅカヒデキ,1969-09-20,兵庫県
黒田正彦,クロダマサヒコ,1988-09-01,福井県
黒田雅保,クロダマサヤス,1981-03-30,埼玉県
塩田彦太郎,シオダヒコタロウ,1988-02-15,千葉県
松下杏樹,マツシタアンジュ,1990-06-05,静岡県
都築空,ツズキソラ,1966-10-26,宮崎県
本間彩葉,ホンマイロハ,1996-06-14,栃木県
