氏名,氏名（カタカナ）,生年月日,出身地
望月萌香,モチヅキモエカ,1982-09-20,熊本県
田辺新平,タナベシンペイ,1959-10-06,和歌山県
澤田梨子,サワダリコ,1959-11-06,福井県
村田麻緒,ムラタマオ,1992-02-03,大分県
奥野広明,オクノヒロアキ,1959-02-23,富山県
堀越美里,ホリコシミサト,1967-11-07,青森県
北条彩夏,ホウジョウサイカ,1993-07-26,茨城県
遠藤裕信,エンドウヒロノブ,1960-04-24,島根県
沖亜実,オキアミ,1960-04-08,島根県
川名利恵,カワナリエ,1993-07-13,福岡県
奥村胡春,オクムラコハル,1993-04-13,岐阜県
奥村勇蔵,オクムラユウゾウ,1987-11-26,福岡県
早坂守彦,ハヤサカモリヒコ,1972-11-28,徳島県
牧野結芽,マキノユメ,1975-08-17,広島県
冨田岩雄,トミタイワオ,1966-05-12,大阪府
榊原玲奈,サカキバラレイナ,1972-10-18,神奈川県
瀬尾沙和,セオサワ,1982-03-08,鹿児島県
松田沙樹,マツダサキ,1989-02-18,岐阜県
神野直也,カンノナオヤ,1979-12-20,沖縄県
秋元美咲,アキモトミサキ,1996-08-05,茨城県
吾妻一三,アズマカズミ,1976-06-24,鳥取県
津村一郎,ツムライチロウ,1962-03-27,長崎県
宮坂棟上,ミヤサカトウジョウ,1986-12-17,高知県
山本恒敏,ヤマモトツネトシ,1958-09-17,千葉県
川上雄二,カワカミユウジ,1973-05-27,島根県
加賀咲来,カガサクラ,1979-11-10,東京都
岸田孝太郎,キシダコウタロウ,1973-06-18,鳥取県
大村雅史,オオムラマサシ,1988-03-15,長野県
安東博昭,アンドウヒロアキ,1980-02-02,栃木県
小西昌宏,コニシマサヒロ,1973-11-03,京都府
大庭英之,オオニワヒデユキ,1978-04-12,沖縄県
比嘉結花,ヒガユイカ,1986-03-19,愛知県
和泉椛,イズミモミジ,1979-05-04,岡山県
野中丈夫,ノナカタケオ,1991-11-02,愛媛県
大倉光一,オオクラコウイチ,1995-10-10,群馬県
朝倉俊一,アサクラシュンイチ,1982-12-19,大分県
長田清司,ナガタキヨシ,1959-10-31,鳥取県
柳瀬誠一,ヤナセセイイチ,1981-09-05,福岡県
吉野百香,ヨシノモモカ,1991-12-25,長崎県
荻原洋平,オギワラヨウヘイ,1991-05-14,富山県
荻野芽衣,オギノメイ,1985-12-24,三重県
笹本香穂,ササモトカホ,1976-03-06,宮崎県
今田貴美,イマダキミ,1992-11-03,三重県
木下早希,キノシタサキ,1986-04-23,北海道
成瀬理緒,ナルセリオ,1987-12-28,愛媛県
石沢信彦,イシザワノブヒコ,1987-05-19,神奈川県
岩本謙三,イワモトケンゾウ,1985-11-17,愛知県
竹下貞治,タケシタテイジ,1962-02-23,秋田県
長坂建司,ナガサカケンジ,1963-11-20,福井県
柴崎茂志,シバザキシゲシ,1980-02-11,鹿児島県
福沢広,フクザワヒロシ,1969-09-26,大阪府
小谷果穂,コタニカホ,1958-05-07,徳島県
梶原泉,カジワライズミ,1971-10-18,沖縄県
篠原依子,シノハラヨリコ,1966-12-17,香川県
