氏名,氏名（カタカナ）,生年月日,出身地
上岡悟,カミオカサトシ,1996-12-19,富山県
服部浩俊,ハットリヒロトシ,1977-10-31,静岡県
菊田秀幸,キクタヒデユキ,1982-08-04,和歌山県
木戸数子,キドカズコ,1992-09-19,山口県
川本日向,カワモトヒナタ,1963-08-09,大分県
根本由利子,ネモトユリコ,1960-10-27,広島県
赤井栄次,アカイエイジ,1963-08-12,茨城県
桜田章平,サクラダショウヘイ,1977-05-23,鹿児島県
児島国彦,コジマクニヒコ,1976-10-19,大阪府
羽鳥彩那,ハトリアヤナ,1965-05-10,石川県
首藤佳代子,シュドウカヨコ,1983-06-12,佐賀県
高松昌嗣,タカマツマサシ,1981-05-19,鳥取県
小室樹,コムロイツキ,1959-04-19,鳥取県
藤村正一郎,フジムラショウイチロウ,1985-01-13,山口県
山城松男,ヤマシロマツオ,1973-07-13,新潟県
川井佳那子,カワイカナコ,1980-12-12,北海道
平井良子,ヒライヨシコ,1987-12-29,栃木県
河合愛理,カワイアイリ,1977-05-24,鹿児島県
吉本一久,ヨシモトカズヒサ,1972-05-07,岡山県
堀江喬,ホリエタカシ,1973-01-09,岐阜県
杉田柚,スギタユズ,1974-11-06,福島県
安藤岩男,アンドウイワオ,1958-10-21,岡山県
黒川勇治,クロカワユウジ,1988-09-05,香川県
比嘉麗,ヒガウララ,1979-11-01,群馬県
松尾徳雄,マツオトクオ,1990-11-22,大分県
竹本理穂,タケモトリホ,1989-09-22,沖縄県
落合光枝,オチアイミツエ,1965-09-05,千葉県
小笠原幹夫,オガサワラミキオ,1979-02-28,岐阜県
寺岡龍雄,テラオカタツオ,1984-01-27,岐阜県
湊当麻,ミナトトウマ,1972-06-14,熊本県
安達一平,アダチイッペイ,1958-03-31,奈良県
赤井範久,アカイノリヒサ,1978-11-04,島根県
山岡孝三,ヤマオカコウゾウ,1990-07-28,茨城県
高嶋日出夫,タカシマヒデオ,1964-07-25,千葉県
芳賀美紗,ハガミサ,1992-04-28,大阪府
植松信吉,ウエマツシンキチ,1995-11-01,青森県
染谷紗矢,ソメヤサヤ,1962-05-14,兵庫県
津田芳太郎,ツダヨシタロウ,1989-06-14,島根県
井原金蔵,イハラキンゾウ,1980-09-10,宮崎県
石川舞桜,イシカワマオ,1962-05-11,京都府
森田恒夫,モリタツネオ,1969-01-03,千葉県
戸塚年子,トツカトシコ,1958-12-15,山口県
川野泰弘,カワノヤスヒロ,1979-08-04,兵庫県
植村百合,ウエムラユリ,1979-08-10,岐阜県
土肥武史,ドイタケシ,1987-06-17,福岡県
奥田祐希,オクダユウキ,1982-03-21,兵庫県
大森幸真,オオモリユキマサ,1997-10-20,愛知県
笹森明音,ササモリアカネ,1962-08-14,大阪府
手塚正司,テヅカマサシ,1990-10-23,京都府
森下忠一,モリシタチュウイチ,1997-07-02,富山県
小野寺新平,オノデラシンペイ,1969-01-15,愛知県
下山陳雄,シモヤマノブオ,1992-08-26,奈良県
古賀峰雄,コガミネオ,1981-07-21,熊本県
新田昌子,ニッタマサコ,1973-11-17,和歌山県
城戸長治,キドチョウジ,1960-03-26,徳島県
城戸政春,キドマサハル,1982-12-31,秋田県
