氏名,氏名（カタカナ）,生年月日,出身地
飛田愛良,トビタアイラ,1996-01-06,長野県
赤羽保夫,アカバネヤスオ,1986-02-02,茨城県
今田民雄,イマダタミオ,1980-04-10,香川県
古河美沙,フルカワミサ,1961-01-16,高知県
井原健次郎,イハラケンジロウ,1997-03-19,福岡県
岸田丈人,キシダタケト,1995-05-15,広島県
富岡健二,トミオカケンジ,1970-02-22,岩手県
須藤金作,スドウキンサク,1985-03-17,宮崎県
片桐裕久,カタギリヒロヒサ,1994-12-30,群馬県
板垣栄次,イタガキエイジ,1970-04-08,岩手県
西谷量子,ニシタニカズコ,1990-05-16,東京都
土谷恒男,ツチヤツネオ,1996-07-19,兵庫県
岩田昌宏,イワタマサヒロ,1959-09-11,愛媛県
柳瀬菜緒,ヤナセナオ,1990-02-11,香川県
唐沢良雄,カラサワヨシオ,1995-04-24,長崎県
冨田果穂,トミタカホ,1981-09-25,広島県
皆川矩之,ミナガワノリユキ,1992-10-11,神奈川県
末永里桜,スエナガリオ,1972-06-21,鹿児島県
西脇貴史,ニシワキタカシ,1968-07-07,鳥取県
三沢真依,ミサワマイ,1968-02-10,茨城県
甲斐静江,カイシズエ,1991-04-21,長崎県
阪本泰雄,サカモトヤスオ,1967-03-13,福島県
川合友美,カワイユミ,1961-03-09,山梨県
細谷英樹,ホソヤヒデキ,1993-10-20,山形県
島津栄三,シマヅエイゾウ,1973-02-02,佐賀県
安達揚子,アダチヨウコ,1974-05-08,高知県
田渕雅雄,タブチマサオ,1985-07-23,茨城県
佐久間夕菜,サクマユウナ,1981-07-23,秋田県
星淳,ホシアツシ,1987-08-14,群馬県
加藤裕史,カトウヒロシ,1968-07-23,北海道
三橋心咲,ミハシミサキ,1958-06-07,新潟県
古沢信雄,フルサワノブオ,1964-07-22,佐賀県
荒川敬一,アラカワケイイチ,1960-11-20,埼玉県
大前英明,オオマエヒデアキ,1985-04-17,神奈川県
西田敏雄,ニシダトシオ,1958-05-13,茨城県
田淵陽一郎,タブチヨウイチロウ,1971-10-31,島根県
米山隆夫,コメヤマタカオ,1990-04-14,奈良県
高井吉男,タカイヨシオ,1960-03-25,愛知県
村瀬政勝,ムラセマサカツ,1988-12-06,山口県
長岡菜々実,ナガオカナナミ,1961-04-30,岡山県
村木敦司,ムラキアツシ,1960-07-11,群馬県
小室真美,コムロマミ,1981-04-02,岡山県
佐久間節子,サクマセツコ,1995-09-13,鳥取県
関本博司,セキモトヒロシ,1980-10-17,静岡県
荒木晶子,アラキアキコ,1992-04-01,愛媛県
矢島金次郎,ヤジマキンジロウ,1977-10-12,福岡県
福地廣祐,フクチコウスケ,1977-08-02,岐阜県
難波唯衣,ナンバユイ,1983-11-02,茨城県
平良咲,ヒラヨシサキ,1989-10-20,徳島県
水谷美桜,ミズタニミオ,1968-11-22,鹿児島県
木内竹次郎,キウチタケジロウ,1966-09-05,岩手県
古山満,フルヤマミツル,1970-04-29,佐賀県
沖田一子,オキタイチコ,1975-11-15,群馬県
今田博文,イマダヒロフミ,1973-12-20,富山県
森岡知子,モリオカトモコ,1963-09-18,熊本県
青野花菜,アオノハナ,1972-02-03,福井県
江藤康博,エトウヤスヒロ,1996-11-05,長野県
我妻伍朗,アガツマゴロウ,1983-06-17,茨城県
大内江民,オウウチエミ,1970-01-22,徳島県
宮沢千代,ミヤザワチヨ,1960-01-02,福島県
小宮治夫,コミヤハルオ,1997-05-15,沖縄県
松沢正孝,マツザワマサタカ,1960-10-27,群馬県
松井博嗣,マツイヒロツグ,1981-11-21,山形県
丸山真哉,マルヤマシンヤ,1976-01-15,鹿児島県
大西梨乃,オオニシリノ,1994-08-11,福井県
大和乃亜,ダイワノア,1993-11-14,島根県
平原一子,ヒラハライチコ,1962-07-06,三重県
岸本結,キシモトユイ,1970-04-27,広島県
五十嵐聡美,イガラシサトミ,1980-02-15,宮崎県
三村年子,ミムラトシコ,1991-05-16,福島県
神戸公一,コウベコウイチ,1992-11-21,宮崎県
吾妻真希,アズママキ,1995-10-27,富山県
楠本景子,クスモトケイコ,1991-01-30,熊本県
百瀬常吉,モモセツネキチ,1988-02-28,愛知県
川口正康,カワグチマサヤス,1997-01-03,鹿児島県
仲野舞子,ナカノマイコ,1987-10-19,千葉県
福田綾華,フクダアヤカ,1961-02-03,高知県
植木大介,ウエキダイスケ,1962-10-23,兵庫県
大谷亜矢,オオヤアヤ,1987-03-21,長野県
遠山信夫,トオヤマノブオ,1989-01-22,大分県
木村勝子,キムラカツコ,1976-06-22,群馬県
星野理香,ホシノリカ,1979-02-02,大阪府
岩井佐知子,イワイサチコ,1997-03-18,群馬県
峰政弘,ミネマサヒロ,1962-08-27,東京都
海老原唯,エビハラユイ,1972-10-25,東京都
坂本美千子,サカモトミチコ,1995-04-22,富山県
山野素子,ヤマノモトコ,1979-05-27,京都府
大橋紫乃,オオハシシノ,1995-11-04,鹿児島県
大塚昭,オオツカアキラ,1970-02-17,埼玉県
草野沙和,クサノサワ,1968-07-14,千葉県
平井国彦,ヒライクニヒコ,1994-12-05,山形県
斉藤円美,サイトウマルミ,1996-12-19,新潟県
川越美来,カワゴエミク,1980-03-12,兵庫県
上原智博,ウエハラトモヒロ,1992-11-28,富山県
鎌田優菜,カマタユウナ,1978-01-29,岩手県
角田幸二,カクタコウジ,1996-09-11,茨城県
上条喜久男,カミジョウキクオ,1983-06-26,和歌山県
塚田司,ツカダツカサ,1989-03-11,香川県
塩見欧子,シオミヒロコ,1967-08-10,高知県
細野雅彦,ホソノマサヒコ,1988-11-11,静岡県
杉浦千春,スギウラチハル,1962-06-23,滋賀県
藤木泰介,フジキタイスケ,1970-01-28,宮城県
野間智恵理,ノマチエリ,1977-09-19,香川県
金田保男,カナダヤスオ,1962-12-04,徳島県
奥山美紀,オクヤマミキ,1968-07-06,福岡県
大森桃佳,オオモリモモカ,1975-12-28,鳥取県
笠井鉄夫,カサイテツオ,1974-09-19,香川県
榎本淳子,エノモトジュンコ,1991-09-30,栃木県
川原寧々,カワハラネネ,1978-03-02,山梨県
赤松隆吾,アカマツリュウゴ,1997-03-27,福岡県
出口杏理,デクチアンリ,1973-11-19,茨城県
瀬戸夏希,セトナツキ,1960-08-22,鹿児島県
板橋洋,イタバシヒロシ,1959-01-17,宮城県
村田真緒,ムラタマオ,1962-10-08,滋賀県
今井香凛,イマイカリン,1996-10-18,大分県
大倉歌音,オオクラカノン,1986-07-19,愛知県
鎌田章治郎,カマタショウジロウ,1971-01-13,東京都
清水真桜,キヨミズマオ,1960-04-17,大分県
金森直也,カナモリナオヤ,1985-06-27,沖縄県
神戸嘉一,コウベカイチ,1967-10-15,高知県
長谷部恵利,ハセベエリ,1960-07-04,島根県
秋田麻奈,アキタマナ,1969-04-09,静岡県
山形道世,ヤマガタミチヨ,1992-06-23,静岡県
亀田俊博,カメダトシヒロ,1994-06-29,群馬県
荻野紀夫,オギノノリオ,1962-09-25,石川県
羽田柚葉,ハタユズハ,1959-09-03,佐賀県
平塚美明,ヒラツカヨシアキ,1976-03-20,埼玉県
本間茉莉,ホンママリ,1976-01-17,石川県
